,GHI,DHI,DNI,DryBulb,Wspd,zenith,azimuth,elevation,trackingdata_surface_tilt,trackingdata_surface_azimuth,C,D
1999-07-28 05:30:00-07:00,38.0,0.0,66.0,19.0,2.7,1.3844376167324863,1.2929755541045358,0.18635871006241025,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-07-28 06:30:00-07:00,179.0,0.0,283.0,21.0,2.4000000000000004,1.1873951212494864,1.44929691949052,0.38340120554541024,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-07-28 07:30:00-07:00,360.0,0.0,411.0,24.0,1.1,0.9865377679221293,1.613160189868463,0.5842585588727673,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-07-28 08:30:00-07:00,564.0,0.0,567.0,26.0,0.4,0.78740291292014,1.803813879571699,0.7833934138747567,44.33003337109208,90.00000085377364,0.05060482892633028,0.7846734607736099
1999-07-28 09:30:00-07:00,739.0,0.0,726.0,27.0,0.4,0.5990294407855263,2.0574814239896235,0.9717668860093702,31.10853793287062,90.00000120741828,0.1416695400974919,0.6438098961409128
1999-07-28 10:30:00-07:00,848.0,0.0,734.0,27.0,1.2000000000000002,0.4418465738731498,2.4479781205640214,1.1289497529217467,16.826534609041683,90.0,0.2552624419046351,0.5428144604590166
1999-07-28 11:30:00-07:00,874.0,0.0,446.0,26.0,2.8000000000000003,0.36367865013783257,3.0579255865006014,1.207117676657064,1.821807537112622,90.0000181915905,0.3841044088457869,0.5005054673849224
1999-07-28 12:30:00-07:00,878.0,0.0,438.0,24.0,4.5,0.41361022817943993,3.708913278168132,1.1571860986154567,13.271770879212248,270.0,0.28521488364304803,0.5267079018857268
1999-07-28 13:30:00-07:00,128.0,0.0,4.0,24.0,5.4,0.5576822007622866,4.147461915053811,1.01311412603261,27.780965146842398,269.9999987925817,0.16695363082247255,0.6152641302328212
1999-07-28 14:30:00-07:00,74.0,0.0,0.0,24.0,5.300000000000002,0.7413066093981431,4.4250552497857925,0.8294897173967535,41.2817088944964,270.0,0.07011909961995255,0.7485252058400117
1999-07-28 15:30:00-07:00,40.0,0.0,0.0,23.0,4.7,0.9390789508504144,4.626340182059038,0.6317173759444823,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-28 16:30:00-07:00,57.0,0.0,0.0,22.0,3.8,1.140290561346387,4.794327964662744,0.43050576544850944,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-28 17:30:00-07:00,19.0,0.0,0.0,21.0,2.4000000000000004,1.338945864381593,4.951013146574132,0.2318504624133037,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-28 18:30:00-07:00,3.0,0.0,0.0,19.0,1.2000000000000002,1.5301341574668832,5.110126968242219,0.04066216932801339,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-29 05:30:00-07:00,51.0,0.0,256.0,17.0,1.7000000000000002,1.386893047426558,1.2962815859657424,0.1839032793683386,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-07-29 06:30:00-07:00,221.0,0.0,550.0,21.0,1.5,1.1897158440004627,1.4529093682398002,0.3810804827944338,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-07-29 07:30:00-07:00,419.0,0.0,711.0,24.0,1.3,0.9888308532921518,1.6172037200779161,0.5819654735027447,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-07-29 08:30:00-07:00,606.0,0.0,792.0,26.0,1.4,0.789817558922392,1.8084577413431004,0.7809787678725045,44.43646066521856,90.00000085377364,0.04994107015432192,0.7859727018235266
1999-07-29 09:30:00-07:00,764.0,0.0,835.0,27.0,1.2000000000000002,0.601796758921053,2.0628077289962037,0.9689995678738436,31.187159350795845,90.0,0.14108235034657207,0.6445196654558453
1999-07-29 10:30:00-07:00,729.0,0.0,379.0,28.0,1.1,0.4452869194514052,2.453140790247556,1.1255094073434915,16.868384148622706,90.0,0.25491291051987236,0.5430261519431465
1999-07-29 11:30:00-07:00,105.0,0.0,0.0,29.0,1.0,0.3677557841246277,3.059019535111672,1.2030405426702688,1.820128487236984,90.0,0.3841190539205799,0.5005045361751309
1999-07-29 12:30:00-07:00,297.0,0.0,18.0,29.0,0.9,0.4173506950540641,3.7047556735685805,1.1534456317408326,13.317598283239791,269.9999974386791,0.28482568186899176,0.5268918324398725
1999-07-29 13:30:00-07:00,280.0,0.0,17.0,28.0,0.7000000000000001,0.5607513560872508,4.142327915365269,1.0100449707076458,27.864976326870522,270.0,0.16630524999028712,0.6159484996497143
1999-07-29 14:30:00-07:00,617.0,0.0,284.0,27.0,0.5,0.7439767043457316,4.420440191430295,0.8268196224491651,41.39492202084147,270.0,0.0693773088545363,0.7498303229275891
1999-07-29 15:30:00-07:00,456.0,0.0,203.0,26.0,0.8,0.9415919066645314,4.622312361458132,0.6292044201303653,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-29 16:30:00-07:00,283.0,0.0,115.0,25.0,1.4,1.142804365522552,4.790745354071942,0.4279919612723448,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-29 17:30:00-07:00,15.0,0.0,0.0,23.0,1.6,1.3415711967170652,4.947753637359561,0.2292251300778314,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-29 18:30:00-07:00,5.0,0.0,0.0,21.0,1.7000000000000002,1.5329581524983087,5.107121648946632,0.03783817429658779,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-30 05:30:00-07:00,49.0,0.0,227.0,18.0,2.0,1.3893737514709468,1.2996823590418414,0.18142257532394981,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-07-30 06:30:00-07:00,219.0,0.0,535.0,22.0,1.4,1.1920604804061816,1.4566194641554668,0.3787358463887152,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-07-30 07:30:00-07:00,413.0,0.0,681.0,25.0,0.7000000000000001,0.9911501159996778,1.6213510602896948,0.5796462107952187,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-07-30 08:30:00-07:00,358.0,0.0,102.0,26.0,1.2000000000000002,0.7922652453970394,1.8132145673944948,0.7785310813978572,44.543340730059114,90.0,0.049275703112256763,0.7872799495661761
1999-07-30 09:30:00-07:00,612.0,0.0,318.0,26.0,1.7000000000000002,0.6046102004614978,2.068254925571982,0.9661861263333987,31.26548325015442,90.0,0.1404978673956886,0.6452283505548061
1999-07-30 10:30:00-07:00,819.0,0.0,488.0,26.0,2.1,0.44879290568498653,2.4584176936270583,1.1220034211099101,16.908926964347494,90.0,0.25457436683339296,0.5432317203876553
1999-07-30 11:30:00-07:00,40.0,0.0,0.0,27.0,2.1,0.3719197322691229,3.060221519716828,1.1988765945257738,1.8159941358822012,90.00001613157804,0.38415511478050884,0.5005022469012126
1999-07-30 12:30:00-07:00,776.0,0.0,357.0,27.0,1.9,0.42119606284982714,3.700665985306661,1.1496002639450695,13.36693116157794,270.0,0.2844067912535112,0.5270905281750194
1999-07-30 13:30:00-07:00,38.0,0.0,0.0,26.0,1.5,0.5639261116518968,4.137187614413974,1.0068702151429998,27.953243771667253,270.0,0.16562456147584662,0.6166695888477273
1999-07-30 14:30:00-07:00,416.0,0.0,59.0,25.0,1.1,0.7467460823455067,4.415788895861882,0.82405024444939,41.51281227677932,270.0,0.06860624477985011,0.7511924706546084
1999-07-30 15:30:00-07:00,307.0,0.0,42.0,22.0,1.0,0.9441989107146989,4.618240887973914,0.6265974160801977,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-30 16:30:00-07:00,10.0,0.0,0.0,20.0,1.6,1.1454092276384342,4.787118882937904,0.4253870991564623,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-30 17:30:00-07:00,58.0,0.0,0.0,18.0,2.4000000000000004,1.3442865586149249,4.944452381870879,0.2265097681799719,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-30 18:30:00-07:00,30.0,0.0,0.0,17.0,2.8000000000000003,1.5358727334334266,5.10407795216406,0.03492359336146991,50.0,270.0,0.016977778440511015,0.8572123903134606
